Colony No.,Bleaching Status,Time,Tolerance,Symbionts per dry tissue mass (g),
5,na,0,S,202312138.7,9/1/17
6,na,0,S,709023941.1,9/1/17
10,na,0,R,577777777.8,9/1/17
13,na,0,R,204572803.9,9/1/17
20,na,0,S,940766550.5,9/1/17
21,na,0,R,1854043393,9/1/17
23,na,0,S,255516840.9,9/1/17
25,na,0,S,763612217.8,9/1/17
26,na,0,R,1424668228,9/1/17
28,na,0,S,805031446.5,9/1/17
30,na,0,S,433962264.2,9/1/17
32,na,0,R,163281561.1,9/1/17
45,na,0,S,225225225.2,9/1/17
55,na,0,S,538532961.9,9/1/17
65,na,0,R,592592592.6,9/1/17
66,na,0,R,588405797.1,9/1/17
69,na,0,R,373831775.7,9/1/17
73,na,0,S,442286947.1,9/1/17
74,na,0,R,957820738.1,9/1/17
5,B,2,S,61082024.43,10/1/17
5,NB,2,S,723967960.6,10/1/17
6,NB,2,S,512820512.8,10/1/17
10,B,2,R,105485232.1,10/1/17
10,NB,2,R,2399577167,10/1/17
13,B,2,R,193370165.7,10/1/17
13,NB,2,R,569105691.1,10/1/17
20,B,2,S,24968789.01,10/1/17
20,NB,2,S,147719974.3,10/1/17
21,B,2,R,146923783.3,10/1/17
21,NB,2,R,622837370.2,10/1/17
23,B,2,S,22446689.11,10/1/17
23,NB,2,S,371163454.7,10/1/17
25,B,2,S,20833333.33,10/1/17
25,NB,2,S,481049562.7,10/1/17
26,B,2,R,49566294.92,10/1/17
26,NB,2,R,793060718.7,10/1/17
28,NB,2,S,755693581.8,10/1/17
30,B,2,S,0,10/1/17
30,NB,2,S,257599175.7,10/1/17
32,B,2,R,88050314.47,10/1/17
32,NB,2,R,282776349.6,10/1/17
41,B,2,R,136402387,10/1/17
41,NB,2,R,472573839.7,10/1/17
45,B,2,S,0,10/1/17
45,NB,2,S,170542635.7,10/1/17
55,B,2,S,24968789.01,10/1/17
55,NB,2,S,239043824.7,10/1/17
65,B,2,R,214723926.4,10/1/17
65,NB,2,R,869776482,10/1/17
66,B,2,R,686274509.8,10/1/17
66,NB,2,R,302214243,10/1/17
69,B,2,R,22742040.29,10/1/17
69,NB,2,R,803108808.3,10/1/17
73,B,2,S,306211723.5,10/1/17
73,NB,2,S,1478431373,10/1/17
74,B,2,R,209290454.3,10/1/17
74,NB,2,R,377358490.6,10/1/17
10,B,3,R,934065934.1,12/1/17
10,NB,3,R,412979351,12/1/17
13,B,3,R,552584670.2,12/1/17
13,NB,3,R,1638176638,12/1/17
21,B,3,R,429553264.6,12/1/17
21,NB,3,R,1608695652,12/1/17
26,B,3,R,478927203.1,12/1/17
26,NB,3,R,987815491.7,12/1/17
32,B,3,R,1254681648,12/1/17
32,NB,3,R,1184738956,12/1/17
41,B,3,R,271317829.5,12/1/17
65,B,3,R,323624595.5,12/1/17
65,NB,3,R,2192192192,12/1/17
66,B,3,R,1873873874,12/1/17
66,NB,3,R,1666666667,12/1/17
69,NB,3,R,1352201258,12/1/17
74,B,3,R,801033591.7,12/1/17
74,NB,3,R,529100529.1,12/1/17
10,NB,4,R,812274368.2,3/1/18
26,B,4,R,486590038.3,3/1/18
26,NB,4,R,1253443526,3/1/18
32,B,4,R,1953405018,3/1/18
65,NB,4,R,215686274.5,3/1/18
66,B,4,R,895522388.1,3/1/18
66,NB,4,R,1414141414,3/1/18
69,NB,4,R,2619047619,3/1/18
74,B,4,R,847457627.1,3/1/18
74,NB,4,R,799457994.6,3/1/18
10,B,5,R,2871077184,6/1/18
10,NB,5,R,1710671067,6/1/18
13,B,5,R,1095066185,6/1/18
13,NB,5,R,1437598736,6/1/18
21,B,5,R,1172106825,6/1/18
21,NB,5,R,1478787879,6/1/18
26,B,5,R,423280423.3,6/1/18
26,NB,5,R,443510737.6,6/1/18
32,B,5,R,1115335868,6/1/18
32,NB,5,R,1792114695,6/1/18
41,NB,5,R,1629327902,6/1/18
65,B,5,R,2155887231,6/1/18
65,NB,5,R,1783380019,6/1/18
66,B,5,R,369230769.2,6/1/18
66,NB,5,R,2108262108,6/1/18
69,NB,5,R,586510263.9,6/1/18
74,B,5,R,2016011645,6/1/18
74,NB,5,R,1169491525,6/1/18
10,B,6,R,1114754098,7/1/18
10,NB,6,R,990237099,7/1/18
13,B,6,R,787187839.3,7/1/18
13,NB,6,R,1313131313,7/1/18
21,B,6,R,1403755869,7/1/18
21,NB,6,R,993511759.9,7/1/18
26,B,6,R,395480226,7/1/18
26,NB,6,R,297734627.8,7/1/18
32,B,6,R,627306273.1,7/1/18
32,NB,6,R,1178965225,7/1/18
41,B,6,R,431778929.2,7/1/18
41,NB,6,R,1060880048,7/1/18
65,B,6,R,2635046113,7/1/18
65,NB,6,R,3576998051,7/1/18
66,B,6,R,2015098722,7/1/18
66,NB,6,R,189054726.4,7/1/18
69,B,6,R,171184022.8,7/1/18
69,NB,6,R,1193480547,7/1/18
74,B,6,R,157977883.1,7/1/18
74,NB,6,R,473047304.7,7/1/18